nominal,-50,+30,label
1256,1206,1286,PMT2-RA2-37
1307,1257,1337,PMT2-RA2-38
1379,1329,1409,PMT2-RA2-39
1356,1306,1386,PMT2-RA2-40
1392,1342,1422,PMT2-RA3-01
1357,1307,1387,PMT2-RA3-02
1324,1274,1354,PMT2-RA3-03
1335,1285,1365,PMT2-RA3-04
1284,1234,1314,PMT2-RA3-05
1468,1418,1498,PMT2-RA3-06
1425,1375,1455,PMT2-RA3-07
1471,1421,1501,PMT2-RA3-08
1394,1344,1424,PMT2-RA3-09
1242,1192,1272,PMT2-RA3-10
1488,1438,1518,PMT2-RA3-11
1439,1389,1469,PMT2-RA3-12
1427,1377,1457,PMT2-RA3-13
1395,1345,1425,PMT2-RA3-14
1350,1300,1380,PMT2-RA3-15
1434,1384,1464,PMT2-RA3-16
1464,1414,1494,PMT2-RA3-17
1440,1390,1470,PMT2-RA3-18
1436,1386,1466,PMT2-RA3-19
1113,1063,1143,PMT2-RA3-20
1436,1386,1466,PMT2-RA3-21
1472,1422,1502,PMT2-RA3-22
1456,1406,1486,PMT2-RA3-23
1465,1415,1495,PMT2-RA3-24
1373,1323,1403,PMT2-RA3-25
1448,1398,1478,PMT2-RA3-26
1475,1425,1505,PMT2-RA3-27
1502,1452,1532,PMT2-RA3-28
1470,1420,1500,PMT2-RA3-29
1265,1215,1295,PMT2-RA3-30
1434,1384,1464,PMT2-RA3-31
1427,1377,1457,PMT2-RA3-32
1452,1402,1482,PMT2-RA3-33
1387,1337,1417,PMT2-RA3-34
1323,1273,1353,PMT2-RA3-35
1356,1306,1386,PMT2-RA3-36
1534,1484,1564,PMT2-RA3-46
1419,1369,1449,PMT2-RA3-38
1498,1448,1528,PMT2-RA3-39
1166,1116,1196,PMT2-RA3-40
1525,1475,1555,PMT2-RA3-41
1452,1402,1482,PMT2-RA3-42
1441,1391,1471,PMT2-RA3-43
1565,1515,1595,PMT2-RA3-44
1230,1180,1260,PMT2-RA3-45
1385,1335,1415,PMT2-RA4-41
1518,1468,1548,PMT2-RA4-42
1434,1384,1464,PMT2-RA4-43
1420,1370,1450,PMT2-RA4-44
1388,1338,1418,PMT2-RA4-45
1493,1443,1523,PMT2-RA4-01
1375,1325,1405,PMT2-RA4-02
1389,1339,1419,PMT2-RA4-03
1391,1341,1421,PMT2-RA4-04
1347,1297,1377,PMT2-RA4-05
1386,1336,1416,PMT2-RA4-06
1381,1331,1411,PMT2-RA4-07
1380,1330,1410,PMT2-RA4-08
1444,1394,1474,PMT2-RA4-09
1190,1140,1220,PMT2-RA4-10
1411,1361,1441,PMT2-RA4-11
1546,1496,1576,PMT2-RA4-12
1418,1368,1448,PMT2-RA4-13
1514,1464,1544,PMT2-RA4-14
1383,1333,1413,PMT2-RA4-15
1438,1388,1468,PMT2-RA4-16
1409,1359,1439,PMT2-RA4-17
1462,1412,1492,PMT2-RA4-18
1585,1535,1615,PMT2-RA4-19
1367,1317,1397,PMT2-RA4-20
1399,1349,1429,PMT2-RA4-21
1316,1266,1346,PMT2-RA4-22
1440,1390,1470,PMT2-RA4-23
1375,1325,1405,PMT2-RA4-24
1430,1380,1460,PMT2-RA4-25
1414,1364,1444,PMT2-RA4-26
1497,1447,1527,PMT2-RA4-27
1441,1391,1471,PMT2-RA4-28
1441,1391,1471,PMT2-RA4-29
1241,1191,1271,PMT2-RA4-30
1458,1408,1488,PMT2-RA4-31
1419,1369,1449,PMT2-RA4-32
1498,1448,1528,PMT2-RA4-33
1435,1385,1465,PMT2-RA4-34
1262,1212,1292,PMT2-RA4-35
1174,1124,1204,PMT2-RA4-36
1307,1257,1337,PMT2-RA4-37
1351,1301,1381,PMT2-RA4-38
1360,1310,1390,PMT2-RA4-39
1330,1280,1360,PMT2-RA4-40
