pmt_id,channel_id,pmt_in_tpc_plane,pmt_sn,sector_label,ch_number,pmt_position_code,hv_cable_label,signal_cable_label,light_fiber_label,digitizer_label,digitizer_ch_number,hv_supply_label,hv_supply_ch_number,match_ch_sy1527
241,119,EW,FB0375,2L-7,7,1,B11-07,A23-07,25,EW-Bot-B,7,PMT2-RA2,17,18
242,118,EW,FB0279-1,2L-7,9,2,B11-09,A23-09,25,EW-Bot-B,2,PMT2-RA2,19,20
243,117,EW,FB0305,2L-7,6,3,B11-06,A23-06,25,EW-Bot-B,8,PMT2-RA2,16,17
244,116,EW,FB0360,2L-7,8,4,B11-08,A23-08,25,EW-Bot-B,13,PMT2-RA2,18,19
245,115,EW,FB0290,2L-7,10,5,B11-10,A23-10,25,EW-Bot-B,1,PMT2-RA2,20,21
246,114,EW,FB0325,2L-7,1,6,B11-01,A23-01,25,EW-Bot-B,10,PMT2-RA2,11,12
247,113,EW,FB0394,2L-7,3,7,B11-03,A23-03,25,EW-Bot-B,14,PMT2-RA2,13,14
248,112,EW,FB0407,2L-7,5,8,B11-05,A23-05,25,EW-Bot-B,3,PMT2-RA2,15,16
249,111,EW,FB0372,2L-7,2,9,B11-02,A23-02,25,EW-Bot-B,9,PMT2-RA2,12,13
250,110,EW,FB0288,2L-7,4,10,B11-04,A23-04,25,EW-Bot-B,4,PMT2-RA2,14,15
251,109,EW,FB0412,2L-8,7,1,B10-07,A21-07,26,EW-Bot-B,11,PMT2-RA2,27,28
252,108,EW,FB0289-2,2L-8,9,2,B10-09,A21-09,26,EW-Bot-B,6,PMT2-RA2,29,30
253,107,EW,FB0311,2L-8,6,3,B10-06,A21-06,26,EW-Bot-B,12,PMT2-RA2,26,27
254,106,EW,FB0306,2L-8,8,4,B10-08,A21-08,26,EW-Bot-B,15,PMT2-RA2,28,29
255,105,EW,FB0359,2L-8,10,5,B10-10,A21-10,26,EW-Bot-B,5,PMT2-RA2,30,31
256,104,EW,FB0285,2L-8,1,6,B10-01,A21-01,26,EW-Bot-C,8,PMT2-RA2,21,22
257,103,EW,FB0413,2L-8,3,7,B10-03,A21-03,26,EW-Bot-C,15,PMT2-RA2,23,24
258,102,EW,FB0300,2L-8,5,8,B10-05,A21-05,26,EW-Bot-C,1,PMT2-RA2,25,26
259,101,EW,FB0345,2L-8,2,9,B10-02,A21-02,26,EW-Bot-C,7,PMT2-RA2,22,23
260,100,EW,FB0280,2L-8,4,10,B10-04,A21-04,26,EW-Bot-C,2,PMT2-RA2,24,25
261,99,EW,FB0410,2L-9,7,1,B27-07,A31-07,27,EW-Bot-C,9,PMT2-RA2,37,38
262,98,EW,FB0415,2L-9,9,2,B27-09,A31-09,27,EW-Bot-C,4,PMT2-RA2,39,40
263,97,EW,FB0421,2L-9,6,3,B27-06,A31-06,27,EW-Bot-C,10,PMT2-RA2,36,37
264,96,EW,FB0435,2L-9,8,4,B27-08,A31-08,27,EW-Bot-C,13,PMT2-RA2,38,39
265,95,EW,FB0269,2L-9,10,5,B27-10,A31-10,27,EW-Bot-C,3,PMT2-RA2,40,41
266,94,EW,FB0270,2L-9,1,6,B27-01,A31-01,27,EW-Bot-C,12,PMT2-RA2,31,32
267,93,EW,FB0466,2L-9,3,7,B27-03,A31-03,27,EW-Bot-C,14,PMT2-RA2,33,34
268,92,EW,FB0404,2L-9,5,8,B27-05,A31-05,27,EW-Bot-C,5,PMT2-RA2,35,36
269,91,EW,FB0268,2L-9,2,9,B27-02,A31-02,27,EW-Bot-C,11,PMT2-RA2,32,33
270,90,EW,FB0334,2L-9,4,10,B27-04,A31-04,27,EW-Bot-C,6,PMT2-RA2,34,35
271,89,EE,FB0272,2R-1,2,1,B09-02,A20-02,28,EE-Top-A,9,PMT2-RA3,2,3
272,88,EE,FB0260,2R-1,4,2,B09-04,A20-04,28,EE-Top-A,4,PMT2-RA3,4,5
273,87,EE,FB0333,2R-1,1,3,B09-01,A20-01,28,EE-Top-A,10,PMT2-RA3,1,2
274,86,EE,FB0429,2R-1,3,4,B09-03,A20-03,28,EE-Top-A,14,PMT2-RA3,3,4
275,85,EE,FB0343,2R-1,5,5,B09-05,A20-05,28,EE-Top-A,3,PMT2-RA3,5,6
276,84,EE,FB0391,2R-1,6,6,B09-06,A20-06,28,EE-Top-A,8,PMT2-RA3,6,7
277,83,EE,FB0408,2R-1,8,7,B09-08,A20-08,28,EE-Top-A,13,PMT2-RA3,8,9
278,82,EE,FB0263,2R-1,10,8,B09-10,A20-10,28,EE-Top-A,1,PMT2-RA3,10,11
279,81,EE,FB0424,2R-1,7,9,B09-07,A20-07,28,EE-Top-A,7,PMT2-RA3,7,8
280,80,EE,FB0321,2R-1,9,10,B09-09,A20-09,28,EE-Top-A,2,PMT2-RA3,9,10
281,79,EE,FB0387,2R-2,2,1,B03-02,A26-02,29,EE-Top-B,7,PMT2-RA3,12,13
282,78,EE,FB0323,2R-2,4,2,B03-04,A26-04,29,EE-Top-B,2,PMT2-RA3,14,15
283,77,EE,FB0370,2R-2,1,3,B03-01,A26-01,29,EE-Top-B,8,PMT2-RA3,11,12
284,76,EE,FB0426,2R-2,3,4,B03-03,A26-03,29,EE-Top-B,15,PMT2-RA3,13,14
285,75,EE,FB0319,2R-2,5,5,B03-05,A26-05,29,EE-Top-B,1,PMT2-RA3,15,16
286,74,EE,FB0299,2R-2,6,6,B03-06,A26-06,29,EE-Top-A,12,PMT2-RA3,16,17
287,73,EE,FB0380,2R-2,8,7,B03-08,A26-08,29,EE-Top-A,15,PMT2-RA3,18,19
288,72,EE,FB0141,2R-2,10,8,B03-10,A26-10,29,EE-Top-A,5,PMT2-RA3,20,21
289,71,EE,FB0464,2R-2,7,9,B03-07,A26-07,29,EE-Top-A,11,PMT2-RA3,17,18
290,70,EE,FB0439,2R-2,9,10,B03-09,A26-09,29,EE-Top-A,6,PMT2-RA3,19,20
291,69,EE,FB0378,2R-3,2,1,B31-02,A25-02,30,EE-Top-B,11,PMT2-RA3,22,23
292,68,EE,FB0450,2R-3,4,2,B31-04,A25-04,30,EE-Top-B,6,PMT2-RA3,24,25
293,67,EE,FB0392,2R-3,1,3,B31-01,A25-01,30,EE-Top-B,12,PMT2-RA3,21,22
294,66,EE,FB0384,2R-3,3,4,B31-03,A25-03,30,EE-Top-B,14,PMT2-RA3,23,24
295,65,EE,FB0295,2R-3,5,5,B31-05,A25-05,30,EE-Top-B,5,PMT2-RA3,25,26
296,64,EE,FB0397,2R-3,6,6,B31-06,A25-06,30,EE-Top-B,10,PMT2-RA3,26,27
297,63,EE,FB0434,2R-3,8,7,B31-08,A25-08,30,EE-Top-B,13,PMT2-RA3,28,29
298,62,EE,FB0302,2R-3,10,8,B31-10,A25-10,30,EE-Top-B,3,PMT2-RA3,30,31
299,61,EE,FB0399,2R-3,7,9,B31-07,A25-07,30,EE-Top-B,9,PMT2-RA3,27,28
300,60,EE,FB0328,2R-3,9,10,B31-09,A25-09,30,EE-Top-B,4,PMT2-RA3,29,30
301,59,EE,FB0279-2,2R-4,2,1,B30-02,A16-02,31,EE-Top-C,9,PMT2-RA3,32,33
302,58,EE,FB0423,2R-4,4,2,B30-04,A16-04,31,EE-Top-C,4,PMT2-RA3,34,35
303,57,EE,FB0406,2R-4,1,3,B30-01,A16-01,31,EE-Top-C,10,PMT2-RA3,31,32
304,56,EE,FB0419,2R-4,3,4,B30-03,A16-03,31,EE-Top-C,14,PMT2-RA3,33,34
305,55,EE,FB0149,2R-4,5,5,B30-05,A16-05,31,EE-Top-C,3,PMT2-RA3,35,36
306,54,EE,FB0262,2R-4,6,6,B30-06,A16-06,31,EE-Top-C,8,PMT2-RA3,36,37
307,53,EE,FB0400,2R-4,8,7,B30-08,A16-08,31,EE-Top-C,13,PMT2-RA3,38,39
308,52,EE,FB0140,2R-4,10,8,B30-10,A16-10,31,EE-Top-C,1,PMT2-RA3,40,41
309,51,EE,FB0420,2R-4,7,9,B30-07,A16-07,31,EE-Top-C,7,PMT2-RA3,46,47
310,50,EE,FB0358,2R-4,9,10,B30-09,A16-09,31,EE-Top-C,2,PMT2-RA3,39,40
311,49,EE,FB0339,2R-5,2,1,B16-02,A32-02,32,EE-Bot-A,7,PMT2-RA3,42,43
312,48,EE,FB0354,2R-5,4,2,B16-04,A32-04,32,EE-Bot-A,2,PMT2-RA3,44,45
313,47,EE,FB0388,2R-5,1,3,B16-01,A32-01,32,EE-Bot-A,8,PMT2-RA3,41,42
314,46,EE,FB0362,2R-5,3,4,B16-03,A32-03,32,EE-Bot-A,15,PMT2-RA3,43,44
315,45,EE,FB0250,2R-5,5,5,B16-05,A32-05,32,EE-Bot-A,1,PMT2-RA3,45,46
316,44,EE,FB0417,2R-5,6,6,B16-06,A32-06,32,EE-Top-C,12,PMT2-RA4,41,42
317,43,EE,FB0425,2R-5,8,7,B16-08,A32-08,32,EE-Top-C,15,PMT2-RA4,43,44
318,42,EE,FB0301,2R-5,10,8,B16-10,A32-10,32,EE-Top-C,5,PMT2-RA4,45,46
319,41,EE,FB0373,2R-5,7,9,B16-07,A32-07,32,EE-Top-C,11,PMT2-RA4,42,43
320,40,EE,FB0398,2R-5,9,10,B16-09,A32-09,32,EE-Top-C,6,PMT2-RA4,44,45
321,39,EE,FB0266,2R-6,2,1,B18-02,A17-02,33,EE-Bot-A,11,PMT2-RA4,2,3
322,38,EE,FB0376,2R-6,4,2,B18-04,A17-04,33,EE-Bot-A,6,PMT2-RA4,4,5
323,37,EE,FB0312,2R-6,1,3,B18-01,A17-01,33,EE-Bot-A,12,PMT2-RA4,1,2
324,36,EE,FB0411,2R-6,3,4,B18-03,A17-03,33,EE-Bot-A,14,PMT2-RA4,3,4
325,35,EE,FB0331,2R-6,5,5,B18-05,A17-05,33,EE-Bot-A,5,PMT2-RA4,5,6
326,34,EE,FB0335,2R-6,6,6,B18-06,A17-06,33,EE-Bot-A,10,PMT2-RA4,6,7
327,33,EE,FB0367,2R-6,8,7,B18-08,A17-08,33,EE-Bot-A,13,PMT2-RA4,8,9
